,base_market,quote_market,hedge_ratio,half_life
0,SNX-USD,ZRX-USD,9.946328635551978,17.0
1,SNX-USD,TRX-USD,37.21089279497344,7.0
2,SNX-USD,SUSHI-USD,1.856788491191428,11.0
3,SNX-USD,SOL-USD,0.11037477409116642,22.0
4,SNX-USD,ETH-USD,0.0015716442769286342,8.0
5,ICP-USD,EOS-USD,5.629056373656358,19.0
6,ETC-USD,CELO-USD,27.115198571281255,11.0
7,ETC-USD,COMP-USD,0.4164590771498994,15.0
8,ETC-USD,ALGO-USD,83.07636195227829,7.0
9,ZEC-USD,COMP-USD,0.8809882299837257,13.0
10,LINK-USD,EOS-USD,6.527788786505678,9.0
11,LINK-USD,DOT-USD,1.093131265831559,12.0
12,ATOM-USD,BCH-USD,0.09942482639521358,21.0
13,ATOM-USD,CELO-USD,16.54578905538829,19.0
14,ATOM-USD,ZRX-USD,51.84515574947211,22.0
15,ATOM-USD,SOL-USD,0.5748866872629852,24.0
16,ATOM-USD,LTC-USD,0.1394510023820833,12.0
17,BCH-USD,SOL-USD,5.788321706603188,13.0
18,CELO-USD,COMP-USD,0.015352264331281899,10.0
19,CELO-USD,EOS-USD,0.7061978941374275,18.0
20,CELO-USD,NEAR-USD,0.3299171337062573,3.0
21,CELO-USD,ALGO-USD,3.0617875841469298,11.0
22,CELO-USD,SUSHI-USD,0.5848398429862351,11.0
23,CELO-USD,DOT-USD,0.1182717183337705,20.0
24,CELO-USD,UNI-USD,0.11918457964207117,10.0
25,CELO-USD,MATIC-USD,0.5969493777328831,4.0
26,ENJ-USD,ZRX-USD,1.8761940911812351,11.0
27,FIL-USD,BTC-USD,0.00027605775524846513,16.0
28,FIL-USD,MATIC-USD,4.844720254061487,14.0
29,FIL-USD,AVAX-USD,0.3420294820561469,17.0
30,TRX-USD,BTC-USD,2.90757536726136e-06,2.0
31,TRX-USD,ETH-USD,4.222849247621853e-05,10.0
32,COMP-USD,XLM-USD,587.5062392300156,17.0
33,COMP-USD,EOS-USD,45.99479006597376,11.0
34,COMP-USD,ALGO-USD,199.3283599538699,12.0
35,COMP-USD,SUSHI-USD,38.078349962156594,12.0
36,COMP-USD,DOT-USD,7.702602513807351,10.0
37,COMP-USD,SOL-USD,2.264399560834489,14.0
38,COMP-USD,UNI-USD,7.760359928541398,9.0
39,XLM-USD,SUSHI-USD,0.06478619658697536,10.0
40,EOS-USD,DOT-USD,0.16744653048329466,5.0
41,NEAR-USD,ALGO-USD,9.24214454809908,3.0
42,NEAR-USD,SUSHI-USD,1.7652121141914834,3.0
43,NEAR-USD,ADA-USD,6.3251508108834695,3.0
44,NEAR-USD,BTC-USD,0.00010287985043723848,3.0
45,NEAR-USD,DOT-USD,0.3569258343136918,4.0
46,NEAR-USD,CRV-USD,2.2228691135216496,4.0
47,NEAR-USD,SOL-USD,0.10496655932885716,3.0
48,NEAR-USD,AAVE-USD,0.028688155360702933,3.0
49,NEAR-USD,UNI-USD,0.35968358126227773,3.0
50,NEAR-USD,MATIC-USD,1.802124369415703,3.0
51,NEAR-USD,AVAX-USD,0.12756093368843008,3.0
52,NEAR-USD,ETH-USD,0.001493746351531826,3.0
53,ALGO-USD,SUSHI-USD,0.1909803818604082,8.0
54,ALGO-USD,AAVE-USD,0.003103513188869966,8.0
55,ALGO-USD,UNI-USD,0.03891632428080655,9.0
56,ALGO-USD,AVAX-USD,0.013802883242696436,2.0
57,SUSHI-USD,DOT-USD,0.2021649711450923,17.0
58,SUSHI-USD,SOL-USD,0.05943679342601355,17.0
59,ADA-USD,CRV-USD,0.35135006111858846,21.0
60,CRV-USD,AAVE-USD,0.012884736072002571,21.0
61,DOGE-USD,LTC-USD,0.0008554392567159314,9.0
62,DOGE-USD,1INCH-USD,0.14021221970732062,13.0
63,DOGE-USD,AVAX-USD,0.0042844274401523386,11.0
64,AAVE-USD,MATIC-USD,62.78774743541966,4.0
